k,inercia,silhueta,davies_bouldin,calinski_harabasz
2,141820.2635236368,0.2551008068477593,1.6748590775532894,8022.073844610144
3,116000.20233861786,0.26864798986983734,1.4147638863821517,8238.226565563247
4,98318.5021972927,0.27293213068302186,1.2654326302211563,8275.718714756757
5,87646.96820596646,0.23035946957037653,1.2966165266241565,7874.284853953543
6,77278.81135733145,0.2697974280000859,1.1250202150886048,7948.215144017051
7,68298.99186196888,0.25840866460354533,1.1035750231750454,8150.570434001917
8,63466.62256579119,0.25786325424902107,1.107521274096429,7843.7182347539765
9,58855.21290074067,0.25926870669225166,1.0496034445329425,7694.15518503434
10,55103.3799882153,0.26051330016095764,1.018920378374476,7531.337099613849
